CompN,EM,nuM,EF,nuF,Vf,E1,E2,E3,v12,v23,G12,G13,G23 
61,2.4637635184622835,0.3637814029303721,129.69658896425278,0.1765685609153214,0.111873707422803,16.711052003048,3.3356326745005,3.3327944707703,0.33754965059024,0.51920425474342,2.2681867667867,2.2617213942458,2.1833310349357
62,1.5203778658072191,0.3703067898670184,280.80935283765746,0.2739883973991685,0.1119597322251434,32.791605985686,2.1022143900209,2.1140232305228,0.35744137342707,0.55725195656845,1.3909057646308,1.4075296452604,1.3536373897546
63,4.253271255304727,0.3637684049458557,152.4814239784276,0.235352288457588,0.1120440540325403,20.871890418685,5.6906931660958,5.6701647405664,0.34548115397995,0.50499364701369,3.9076214353292,3.8746551123606,3.7626849350984
64,1.720599250704728,0.3913210179948183,599.1502461481715,0.1735881029885942,0.1124616780273274,68.921003777353,2.4620713204252,2.4558930505117,0.36116709899625,0.61742145903103,1.5667444175923,1.5588517974994,1.5141114332395
65,4.7509486637727365,0.3978604243303814,234.70852363430905,0.3042648679528874,0.1126457729228366,30.66101897422,6.5843959745941,6.572803538302,0.38515893454958,0.59225680445489,4.2668387901728,4.2497849946334,4.1679421037883
66,1.6172146221284516,0.3979808204194484,711.9270502198688,0.3252716700670219,0.112863706869752,81.786626947175,2.3412702721547,2.3390085675478,0.38808940333055,0.63439490378435,1.4652125455612,1.4621913155615,1.4169671364588
67,4.3609415397194455,0.3767912462955527,422.31442442896207,0.3239527975325711,0.1133374802364943,51.732503602547,6.0700742087358,6.045993256738,0.36921640178977,0.56249527347536,4.0085058208869,3.9742493665934,3.853139105072
68,4.5508616939969935,0.3791039456270759,791.8168539688272,0.2906524296632934,0.1134853090945449,93.899295290459,6.372134340016,6.3877483935935,0.36708158751378,0.57768829080994,4.1496715656943,4.1763598086717,4.0347019541429
69,3.9928835247768055,0.3895831984163741,61.33042655123128,0.204515581058831,0.1136201777184369,10.527590182634,5.2228770633486,5.2233690340008,0.36504614514792,0.51156953190381,3.5405888144009,3.5412100283025,3.4578966454945
70,2.706576412026389,0.3620794174761879,190.4241083480437,0.3017368103724611,0.113651410946658,24.042464093211,3.6879555336596,3.6888085450875,0.35347611579289,0.52128162871388,2.5062684304199,2.5069441672967,2.4137553529
71,3.3898797860304626,0.3819771887571035,548.2206911349888,0.2890149898157717,0.1138840844234503,65.441924864598,4.7376439245777,4.7547289053299,0.36943350750428,0.58523362486548,3.08769518862,3.1154797781359,3.0213468593427
72,1.5051804064706058,0.3645754884062784,329.2469199278829,0.1547100263013989,0.1139368314245319,38.857263383659,2.0853069860768,2.0836535878726,0.33455626323703,0.54845567691632,1.3958663030136,1.3949281435309,1.3482830932085
73,3.628466439917616,0.3933441942789689,241.4781012293855,0.1926430845244814,0.1141080364229552,30.791670100409,5.0746059442628,5.0914796667276,0.36676748116633,0.59308531748903,3.2723908396288,3.3001643770193,3.1979794784107
74,2.605024510111675,0.3858420798639785,142.54307004905735,0.2548394666864131,0.1142613566666961,18.601495386832,3.6112488782072,3.6029470556329,0.3674044600605,0.56845133191208,2.3771364646296,2.3623260899702,2.296405173019
75,1.3177065258675282,0.3679653360400064,928.8064832825336,0.3066505360521395,0.1143273424507909,107.3556347087,1.8399107329205,1.8441534303001,0.35936106217463,0.56181522592224,1.2189416802064,1.2252969560008,1.1803130622442
76,2.264167463603534,0.3809531950011562,888.9707969719801,0.2281281435434798,0.1144858846525081,103.78775799947,3.2091719177177,3.2110710239579,0.35963098250613,0.59066048444382,2.0777579575993,2.0847043074832,2.0105475769328
77,4.2986592406455575,0.3662203177949876,595.620600945406,0.3172757101397254,0.1145864558934351,72.057746082257,5.9468218289101,5.9262869147396,0.35903337943697,0.54656313296541,4.0071390155538,3.9709072441187,3.86377428075
78,2.9567096816517138,0.3715504146134744,698.6341133024379,0.2962739341601735,0.1149316847304908,82.914582854475,4.1291929178909,4.1378912048171,0.36100126902984,0.56346822299266,2.726965602833,2.7396116522873,2.6357407828513
79,4.5281845918098185,0.3774359193578492,619.4647818438722,0.171831811159171,0.1149798454515497,75.263428265245,6.3489973459317,6.3281086729648,0.34773624282335,0.57338547204093,4.1851369419951,4.1493239816669,4.0350140072149
80,4.139470813096136,0.3648226247577861,612.4942791577919,0.3032862420640789,0.1151356487470237,74.185239241765,5.7289263105535,5.7547128644263,0.3561684308876,0.54090239634223,3.8418659419943,3.8789956282698,3.7116228832544
81,3.879457738969968,0.3742424808050331,576.4674231308034,0.22490603821735,0.1152901698119957,69.907320576412,5.4537385634658,5.4601363510541,0.35301594839804,0.56281879561316,3.5919541321796,3.6016331446846,3.4519186866872
82,4.9465741722449055,0.3826993498594772,905.025545548829,0.2514210862573283,0.1153926879528288,108.82308120937,6.9922689475648,7.0348131630162,0.36494028778422,0.585768470406,4.5268741082205,4.5981761378848,4.4137844456012
83,2.427508531743299,0.3869865139460141,674.2103345054907,0.3311471534233597,0.1154741586960155,80.002092088285,3.4604766951908,3.4619470424231,0.37922705334529,0.60244529132777,2.2161795142691,2.2216714568776,2.1472314798255
84,2.9172745296068507,0.3948508503851339,426.7669590046692,0.2734634715324514,0.1157692479375674,51.992624497595,4.1626519659914,4.1589865103394,0.37795296516201,0.61604326439331,2.6549428540675,2.6486351794833,2.5766284868624
85,3.987374404072687,0.3986898664268149,730.8037835818482,0.2671255206996151,0.1158679503562533,88.212982299809,5.7143218715976,5.7576549326498,0.38173151945806,0.62679209286925,3.5915213554217,3.66282417083,3.5315311656752
86,2.866029687585016,0.3990060360107872,843.4252066002527,0.2589671448517837,0.1160964442835391,100.46065610943,4.1432149512273,4.1249450586715,0.37890136157425,0.63784417866535,2.6190676499303,2.5946423413913,2.5408055667621
87,2.9991241381784697,0.3979339745549189,571.8743966725023,0.2205591090096969,0.1162102058370674,69.123365095124,4.3491314728204,4.3322472993716,0.37244959232692,0.62739959981421,2.7478075409239,2.7225774672282,2.6427288410133
88,3.511133813322944,0.3984291772871792,287.25661719993104,0.1918599917112126,0.1162526738172917,36.52048774944,5.011301493121,4.9981793012084,0.36936217466787,0.61228599799355,3.1933242213426,3.169721321097,3.0935723623852
89,1.9493059606053589,0.3638457487299301,509.560573550009,0.2365207696332881,0.1163750234227488,61.02752175568,2.7139048836078,2.7186070124322,0.34555202855683,0.54612083643781,1.8140756908795,1.8202027457051,1.7503137056092
90,3.2294429050779034,0.3935192430605334,77.92322412869055,0.2546164277171543,0.1167847219550171,11.961939213831,4.3658449733793,4.3624227047763,0.37431372284036,0.54719364498974,2.8989342877718,2.8954617730256,2.8247192742838
91,1.7807189918648396,0.3605937258956402,140.242180551421,0.2938273436787049,0.1169535519828703,17.975504692502,2.4308572312709,2.4487447768329,0.35127660722773,0.51979700729846,1.6468618434789,1.6747528673464,1.5983743712701
92,2.8639155382548847,0.3899608484657152,448.9006567359545,0.3470252038007056,0.1170914338716246,55.091682044953,4.0592659883104,4.0703533306029,0.38407769477589,0.60359464788344,2.6032918245808,2.622306419238,2.5426674162162
93,3.260133241569183,0.3793966769900348,894.2965152383035,0.2715659749639306,0.1172768976489656,107.76413563858,4.6032166416204,4.6154458714969,0.36418652303949,0.58473374389688,3.0057506700171,3.0271343039009,2.9212669319423
94,2.741878576428402,0.3837387315336034,552.5706848925682,0.3334065306480268,0.1174065251688633,67.296433768383,3.8985658227855,3.86785225991,0.37610984139955,0.59497931838259,2.5508090020338,2.5022299149019,2.4535232674543
95,2.560106120326118,0.3904187573335901,799.747595146162,0.2606684489436722,0.1174484955489139,96.1952545394,3.6883465237566,3.6789417181444,0.37172922848064,0.61321059689935,2.3537643188243,2.3371143063234,2.2689646147877
96,2.2146002216161698,0.379400446990946,556.8675077054005,0.2715149695598485,0.117809558205745,67.56203387009,3.1328532487416,3.1331206971632,0.36390354823446,0.58419056385464,2.0474702297301,2.0429419622035,1.9803954869616
97,1.1586474738565602,0.3959411123168014,854.2371073122774,0.2769476041080936,0.1179170811081589,101.7537281595,1.6820978761888,1.6845085146327,0.37929129943886,0.6323347700215,1.0633841467344,1.0645145130796,1.033399602023
